cow_id,ground_truth_weight_kg,ground_truth_heart_girth_cm,upper_valley_ratio_from_rear,lower_valley_ratio_from_rear,upper_lower_valley_distance_m,midpoint_station_axis_from_centroid_m,method1_upper_half_arc_ridge_m,method1_lower_half_arc_ridge_m,method1_separate_valley_half_arcs_ridge_m,method1_separate_valley_half_arcs_pca_m,method1_ridge_minus_pca_m,method2_midpoint_full_arc_m,method2_midpoint_full_arc_split_at_ridge_m,method2_midpoint_full_arc_split_at_pca_m,method1_minus_method2_m,method1_vs_method2_absolute_difference_m,method1_vs_method2_absolute_difference_percent,ridge_reference_median_height_deficit_m,pca_reference_median_height_deficit_m,method1_valid_upper_profile_count,method1_valid_lower_profile_count,method2_valid_profile_count,method1_window_definition,method2_window_definition,surface_scope,method_version,status
50,410.0,184.0,0.5446513470790088,0.5718839144329593,0.050000138444693865,0.26133006500565514,0.32147343180628757,0.23973853319976973,0.5612119650060573,0.5688510509182307,-0.007639085912173438,0.6107579400896911,0.6107579400896912,0.6107579400896912,-0.049545975083633786,0.049545975083633786,8.45516166724195,0.00011537617221224483,0.018826186656951793,5,5,11,five 1cm-spaced profiles centered on each side valley; median per side then sum,eleven 1cm-spaced full profiles centered on mean valley station; median full arc,Topview-visible dorsal surface only,dual_valley_topview_dorsal_arc_v1.0,ok
51,431.0,176.0,0.588920327470987,0.5671084634905801,0.0400000193537417,0.2921049097710574,0.2754899239241369,0.32660599918038447,0.6020959231045213,0.6019332829987651,0.00016264010575617327,0.6021785829649035,0.6021785829649036,0.6021785829649036,-8.265986038213935e-05,8.265986038213935e-05,0.013727743959627444,0.00039813920550535453,0.0035655021667480025,5,5,11,five 1cm-spaced profiles centered on each side valley; median per side then sum,eleven 1cm-spaced full profiles centered on mean valley station; median full arc,Topview-visible dorsal surface only,dual_valley_topview_dorsal_arc_v1.0,ok
76,463.0,185.0,0.5359454158729889,0.6524552888888562,0.20000009697160837,0.3082336348839437,0.33431378083879193,0.2473157970267192,0.5816295778655112,0.5542150172943895,0.027414560571121682,0.6826979438493156,0.6826979438493157,0.6826979438493157,-0.10106836598380442,0.10106836598380442,15.987687406618162,0.00010817377396443728,0.0010543763637542725,5,5,11,five 1cm-spaced profiles centered on each side valley; median per side then sum,eleven 1cm-spaced full profiles centered on mean valley station; median full arc,Topview-visible dorsal surface only,dual_valley_topview_dorsal_arc_v1.0,ok
82,445.0,189.0,0.520621685762102,0.5828699307988752,0.11000010154676149,0.21131045946934143,0.3050778804610125,0.27994428843040736,0.5850221688914199,0.5852631042223375,-0.0002409353309176243,0.6137951542714113,0.6137951542714111,0.6137951542714111,-0.0287729853799914,0.0287729853799914,4.800228495877894,0.0010170698165894443,0.0005575537681578036,5,5,11,five 1cm-spaced profiles centered on each side valley; median per side then sum,eleven 1cm-spaced full profiles centered on mean valley station; median full arc,Topview-visible dorsal surface only,dual_valley_topview_dorsal_arc_v1.0,ok
87,451.0,190.0,0.5199057889311325,0.6149423309938127,0.17000000206351623,0.2587351711195396,0.363633147039199,0.2374299042147141,0.6010630512539131,0.5777599715885385,0.023303079665374593,0.6645049745568279,0.6645049745568279,0.6645049745568279,-0.06344192330291476,0.06344192330291476,10.02584167884187,0.0002629133001235129,0.002154797315597423,5,5,11,five 1cm-spaced profiles centered on each side valley; median per side then sum,eleven 1cm-spaced full profiles centered on mean valley station; median full arc,Topview-visible dorsal surface only,dual_valley_topview_dorsal_arc_v1.0,ok
97,462.0,188.0,0.5190341628322223,0.5846591719259516,0.11000002441262319,0.17786800796237198,0.31662625836675123,0.22254624683026933,0.5391725051970205,0.5387210505349287,0.0004514546620918436,0.5778104215164364,0.5778104215164364,0.5778104215164364,-0.03863791631941582,0.03863791631941582,6.9182644417138395,0.0009902183086242244,0.0007357120513915572,5,5,11,five 1cm-spaced profiles centered on each side valley; median per side then sum,eleven 1cm-spaced full profiles centered on mean valley station; median full arc,Topview-visible dorsal surface only,dual_valley_topview_dorsal_arc_v1.0,ok
98,346.0,167.0,0.5841325664667865,0.5672825885879368,0.030000163046205258,0.22356058410821983,0.26730881645813853,0.267813020497023,0.5351218369551616,0.5345404912098846,0.0005813457452770177,0.5555206228069836,0.5555206228069836,0.5555206228069834,-0.020398785851821977,0.020398785851821977,3.740691675669896,5.7685375213667456e-05,0.013389235734939553,5,5,11,five 1cm-spaced profiles centered on each side valley; median per side then sum,eleven 1cm-spaced full profiles centered on mean valley station; median full arc,Topview-visible dorsal surface only,dual_valley_topview_dorsal_arc_v1.0,ok
99,407.0,175.0,0.5607762718223241,0.5267898311058197,0.06000000306140349,0.17111043770336998,0.18209242568508677,0.34116995186776916,0.523262377552856,0.5230475430079852,0.00021483454487081222,0.5600925725021307,0.5600925725021306,0.5600925725021306,-0.03683019494927475,0.03683019494927475,6.79928493378932,5.098749050558293e-05,0.015539896488189653,5,5,11,five 1cm-spaced profiles centered on each side valley; median per side then sum,eleven 1cm-spaced full profiles centered on mean valley station; median full arc,Topview-visible dorsal surface only,dual_valley_topview_dorsal_arc_v1.0,ok
100,366.0,170.0,0.5682749597854385,0.5232630817826315,0.08000002440245654,0.18877664968806895,0.09443549771910217,0.39115816472384624,0.48559366244294844,0.49170321053549276,-0.006109548092544326,0.5409290888393969,0.540929088839397,0.540929088839397,-0.055335426396448506,0.055335426396448506,10.781139790096768,9.296536445613235e-05,0.022648870944976918,5,5,11,five 1cm-spaced profiles centered on each side valley; median per side then sum,eleven 1cm-spaced full profiles centered on mean valley station; median full arc,Topview-visible dorsal surface only,dual_valley_topview_dorsal_arc_v1.0,ok
102,378.0,171.0,0.5982212938274024,0.5151350030180409,0.1499999126936569,0.19477155184313139,0.19964622348490904,0.3559673113111292,0.5556135347960383,0.5440112703200343,0.011602264476003987,0.6446784417657511,0.644678441765751,0.6446784417657511,-0.08906490696971281,0.08906490696971281,14.840540253353579,0.00026011558527361256,0.013085705041885443,5,5,11,five 1cm-spaced profiles centered on each side valley; median per side then sum,eleven 1cm-spaced full profiles centered on mean valley station; median full arc,Topview-visible dorsal surface only,dual_valley_topview_dorsal_arc_v1.0,ok
103,382.0,172.0,0.5311435526324477,0.5736350368430436,0.07999996784505745,0.15902247878071507,0.3681189764431859,0.20551992583732248,0.5736389022805084,0.5786889697366622,-0.005050067456153773,0.6182779164375273,0.6182779164375274,0.6182779164375274,-0.044639014157018875,0.044639014157018875,7.4902901705893035,6.093953544616948e-05,0.002709859609603904,5,5,11,five 1cm-spaced profiles centered on each side valley; median per side then sum,eleven 1cm-spaced full profiles centered on mean valley station; median full arc,Topview-visible dorsal surface only,dual_valley_topview_dorsal_arc_v1.0,ok
104,408.0,175.0,0.5579194818698623,0.6199105354109582,0.09999981597601265,0.299047981621269,0.25850568735342305,0.2119895268910056,0.47049521424442864,0.46069891059566087,0.009796303648767768,0.525538087652888,0.5255380876528881,0.5255380876528881,-0.05504287340845937,0.05504287340845937,11.05241628038133,0.0014546338483216736,0.0010316073894501843,5,5,11,five 1cm-spaced profiles centered on each side valley; median per side then sum,eleven 1cm-spaced full profiles centered on mean valley station; median full arc,Topview-visible dorsal surface only,dual_valley_topview_dorsal_arc_v1.0,ok
105,323.0,164.0,0.4733675330443795,0.5667953356189281,0.1500001887171753,0.09678997028472536,0.2669490659910752,0.22622606969571965,0.49317513568679483,0.4932571822985474,-8.204661175259531e-05,0.5755403244481236,0.5755403244481235,0.5755403244481235,-0.08236518876132881,0.08236518876132881,15.413866802475326,0.00014662742614746094,0.0009621739387511985,5,5,11,five 1cm-spaced profiles centered on each side valley; median per side then sum,eleven 1cm-spaced full profiles centered on mean valley station; median full arc,Topview-visible dorsal surface only,dual_valley_topview_dorsal_arc_v1.0,ok
107,409.0,177.0,0.5860342046768793,0.5274307842091913,0.10000002629710644,0.18755175735577245,0.18528042536821837,0.3043855511168634,0.48966597648508176,0.4904048287100149,-0.0007388522249331397,0.5434363996581009,0.5434363996581006,0.5434363996581008,-0.05377042317301911,0.05377042317301911,10.409505275509465,0.0005502807381939645,0.00541739165782934,5,5,11,five 1cm-spaced profiles centered on each side valley; median per side then sum,eleven 1cm-spaced full profiles centered on mean valley station; median full arc,Topview-visible dorsal surface only,dual_valley_topview_dorsal_arc_v1.0,ok
110,417.0,176.0,0.5290333756749936,0.5715992794649357,0.07000002686849102,0.18495971421320323,0.26975806001974206,0.1760532484647938,0.4458113084845359,0.4444542413058948,0.0013570671786410915,0.44729576172408914,0.44729576172408914,0.44729576172408914,-0.0014844532395532628,0.0014844532395532628,0.3324244738554141,5.720118634566784e-05,0.013370862603187428,5,5,11,five 1cm-spaced profiles centered on each side valley; median per side then sum,eleven 1cm-spaced full profiles centered on mean valley station; median full arc,Topview-visible dorsal surface only,dual_valley_topview_dorsal_arc_v1.0,ok
111,243.0,145.0,0.5398585647696338,0.5563848473646227,0.030000046461646,0.21026608672096636,0.2101865565255192,0.3703909904694515,0.5805775469949708,0.5806536553926602,-7.61083976894561e-05,0.5812535800906232,0.5812535800906232,0.5812535800906232,-0.0006760330956524507,0.0006760330956524507,0.1163737276256752,8.35420570785006e-05,0.02079116702079775,5,5,11,five 1cm-spaced profiles centered on each side valley; median per side then sum,eleven 1cm-spaced full profiles centered on mean valley station; median full arc,Topview-visible dorsal surface only,dual_valley_topview_dorsal_arc_v1.0,ok
