cow_id,ground_truth_weight_kg,ground_truth_heart_girth_cm,upper_boundary_rule,lower_boundary_rule,upper_boundary_ratio_from_rear,lower_boundary_ratio_from_rear,boundary_mean_ratio_from_rear,boundary_side_ratio_difference,upper_boundary_x_m,upper_boundary_y_m,lower_boundary_x_m,lower_boundary_y_m,connector_length_m,rear_halfplane_sign,rear_side_core_point_count,projection_grid_cell_size_m,projection_grid_cell_count,valley_connected_rear_torso_projected_area_m2,existing_pca_45_48_core_area_m2,source_top_ply,area_definition,method_version,status
24,441.0,177.0,rule1_first_u_shaped_valley,rule1_first_u_shaped_valley,0.643815623886361,0.5193806713705096,0.5815981476284353,0.12443495251585146,0.5203109448776658,0.4795967747221865,0.2765520505829032,0.08295381288939674,0.4655577705497924,-0.43254161069957325,18830,0.01,5518,0.5518000000000001,0.6612,point_clouds/cow_024_top_cattle.ply,projected point-cloud cells on rear side of upper-lower valley connector,upper_lower_valley_connector_rear_halfplane_area_v1.0,ok
25,434.0,174.0,rule2_slow_to_fast_width_increase,rule1_first_u_shaped_valley,0.5903850876081421,0.5625367344190788,0.5764609110136105,0.027848353189063313,0.6885422423983804,0.15205456363400446,0.7113060553881304,-0.24720941519616094,0.3999123853710048,-0.4128383656998509,17977,0.01,5144,0.5144000000000001,0.6268,point_clouds/cow_025_top_cattle.ply,projected point-cloud cells on rear side of upper-lower valley connector,upper_lower_valley_connector_rear_halfplane_area_v1.0,ok
26,414.0,174.0,rule1_first_u_shaped_valley,rule1_first_u_shaped_valley,0.5736631636390935,0.5295352279745478,0.5515991958068207,0.04412793566454576,0.4736289549160472,-0.16718668470667614,0.3577076720355797,-0.5470540095094163,0.3971610860563304,-0.39146848326697964,17974,0.01,4949,0.4949,0.6266,point_clouds/cow_026_top_cattle.ply,projected point-cloud cells on rear side of upper-lower valley connector,upper_lower_valley_connector_rear_halfplane_area_v1.0,ok
27,400.0,174.0,rule1_first_u_shaped_valley,rule1_first_u_shaped_valley,0.6005517024963413,0.5665582099022087,0.583554956199275,0.033993492594132535,-0.0001647142935442894,0.2897218104816456,0.003942448383424231,-0.15706227228362435,0.4468029603725323,-0.4547184121984635,20112,0.01,5407,0.5407000000000001,0.6829,point_clouds/cow_027_top_cattle.ply,projected point-cloud cells on rear side of upper-lower valley connector,upper_lower_valley_connector_rear_halfplane_area_v1.0,ok
28,464.0,183.0,rule2_slow_to_fast_width_increase,rule1_first_u_shaped_valley,0.5481841629530718,0.5770359610032335,0.5626100619781527,-0.028851798050161692,0.6279568825699086,-0.12420165881316356,0.7744457628556429,-0.5462586781319774,0.44675621943477156,-0.4298419546059295,20332,0.01,5104,0.5104000000000001,0.6436,point_clouds/cow_028_top_cattle.ply,projected point-cloud cells on rear side of upper-lower valley connector,upper_lower_valley_connector_rear_halfplane_area_v1.0,ok
39,437.0,179.0,rule1_first_u_shaped_valley,rule1_first_u_shaped_valley,0.5190246970282869,0.5971574471185667,0.5580910720734268,-0.07813275009027976,0.5413713008844572,0.09346855104687823,0.7063610448616602,-0.30977521741775993,0.4356915794724816,-0.4153263819999007,19404,0.01,5372,0.5372,0.7172,point_clouds/cow_039_top_cattle.ply,projected point-cloud cells on rear side of upper-lower valley connector,upper_lower_valley_connector_rear_halfplane_area_v1.0,ok
50,410.0,184.0,rule1_first_u_shaped_valley,rule1_first_u_shaped_valley,0.5446513470790088,0.5718839144329593,0.558267630755984,-0.02723256735395052,0.6100894276391751,0.19464641333876845,0.7636986776619915,-0.2083975555901465,0.43132382566065636,-0.43733964898535893,20196,0.01,5674,0.5674,0.6929,point_clouds/cow_050_top_cattle.ply,projected point-cloud cells on rear side of upper-lower valley connector,upper_lower_valley_connector_rear_halfplane_area_v1.0,ok
51,431.0,176.0,rule1_first_u_shaped_valley,rule1_first_u_shaped_valley,0.588920327470987,0.5671084634905801,0.5780143954807835,0.02181186398040691,0.676852690358904,0.14665787867331018,0.6050596749500241,-0.2854584150335498,0.43803964243941773,-0.4619951216446125,19996,0.01,5616,0.5616,0.681,point_clouds/cow_051_top_cattle.ply,projected point-cloud cells on rear side of upper-lower valley connector,upper_lower_valley_connector_rear_halfplane_area_v1.0,ok
76,463.0,185.0,rule1_first_u_shaped_valley,rule1_first_u_shaped_valley,0.5359454158729889,0.6524552888888562,0.5942003523809225,-0.11650987301586724,0.6537604181243268,0.18248010887650282,0.8475106782818302,-0.24845501181422502,0.4724872924807951,-0.44381411574299695,21311,0.01,5891,0.5891000000000001,0.7315,point_clouds/cow_076_top_cattle.ply,projected point-cloud cells on rear side of upper-lower valley connector,upper_lower_valley_connector_rear_halfplane_area_v1.0,ok
82,445.0,189.0,rule1_first_u_shaped_valley,rule1_first_u_shaped_valley,0.520621685762102,0.5828699307988752,0.5517458082804886,-0.062248245036773175,0.5549697711587714,0.3230833600708686,0.6751305453458661,-0.10217985978670183,0.4419133600796317,-0.41680669346926963,18555,0.01,5238,0.5238,0.6853,point_clouds/cow_082_top_cattle.ply,projected point-cloud cells on rear side of upper-lower valley connector,upper_lower_valley_connector_rear_halfplane_area_v1.0,ok
87,451.0,190.0,rule1_first_u_shaped_valley,rule1_first_u_shaped_valley,0.5199057889311325,0.6149423309938127,0.5674240599624726,-0.0950365420626802,0.6097668143165162,-0.0025285008415173726,0.7511275084380475,-0.4257642217126998,0.44621891629991506,-0.4194651867855011,19504,0.01,5332,0.5332,0.6616,point_clouds/cow_087_top_cattle.ply,projected point-cloud cells on rear side of upper-lower valley connector,upper_lower_valley_connector_rear_halfplane_area_v1.0,ok
97,462.0,188.0,rule1_first_u_shaped_valley,rule1_first_u_shaped_valley,0.5190341628322223,0.5846591719259516,0.5518466673790869,-0.06562500909372937,0.12240688284255949,0.10437705343201689,0.24017007539758034,-0.2780570893354264,0.40015502380330065,-0.35927598126617444,15223,0.01,4869,0.4869,0.6072,point_clouds/cow_097_top_cattle.ply,projected point-cloud cells on rear side of upper-lower valley connector,upper_lower_valley_connector_rear_halfplane_area_v1.0,ok
98,346.0,167.0,rule1_first_u_shaped_valley,rule1_first_u_shaped_valley,0.5841325664667865,0.5672825885879368,0.5757075775273617,0.016849977878849676,0.33841066359861993,-0.19337377791874794,0.2548207636687016,-0.5780685855796985,0.39367164796514054,-0.4039762233077314,18024,0.01,5189,0.5189,0.6554,point_clouds/cow_098_top_cattle.ply,projected point-cloud cells on rear side of upper-lower valley connector,upper_lower_valley_connector_rear_halfplane_area_v1.0,ok
99,407.0,175.0,rule2_slow_to_fast_width_increase,rule1_first_u_shaped_valley,0.5607762718223241,0.5267898311058197,0.5437830514640719,0.033986440716504474,0.6108665732096179,0.34234661678459305,0.5163660698959306,-0.034152245181247154,0.3881774570838871,-0.3674615041092443,16542,0.01,4746,0.4746,0.5862,point_clouds/cow_099_top_cattle.ply,projected point-cloud cells on rear side of upper-lower valley connector,upper_lower_valley_connector_rear_halfplane_area_v1.0,ok
100,366.0,170.0,rule1_first_u_shaped_valley,rule1_first_u_shaped_valley,0.5682749597854385,0.5232630817826315,0.545769020784035,0.04501187800280704,0.6052850948427958,0.570517192748417,0.5112772295131454,0.206944714914205,0.3755295266451711,-0.3554945007206851,16735,0.01,4805,0.48050000000000004,0.6057,point_clouds/cow_100_top_cattle.ply,projected point-cloud cells on rear side of upper-lower valley connector,upper_lower_valley_connector_rear_halfplane_area_v1.0,ok
