cow_id,ground_truth_weight_kg,ground_truth_heart_girth_cm,upper_valley_ratio_from_rear,lower_valley_ratio_from_rear,virtual_chest_ratio_from_rear,topview_dorsal_arc_m,rightview_lower_side_arc_m,leftview_lower_side_arc_m,three_view_simulated_girth_m,rightview_full_visible_half_arc_m,leftview_full_visible_half_arc_m,right_plus_left_full_visible_arc_m,rightview_chest_station_u_m,leftview_chest_station_u_m,rightview_valid_profile_count,leftview_valid_profile_count,rightview_median_profile_coverage,leftview_median_profile_coverage,rightview_ground_fit_inlier_fraction,leftview_ground_fit_inlier_fraction,rightview_source_ply,leftview_source_ply,simulated_girth_formula,side_body_correction,method_version,status
97,462.0,188.0,0.5190341628322223,0.5846591719259516,0.5518466673790869,0.5778104215164364,0.3084288931423299,0.3262999453557812,1.2125392600145475,0.6610424137905315,0.6448148944250087,1.3058573082155402,-0.1599687005312609,0.17670707612889758,11,11,1.0,1.0,0.9809333333333333,0.9682666666666667,dataset/97/right-12.01.06.346.ply,dataset/97/left-12.01.06.347.ply,top dorsal arc + right lower-side arc + left lower-side arc,rolling 90th percentile belly boundary removes legs and udder excursions; lower arc starts at 50% back-to-belly height,three_view_top_dorsal_plus_right_left_lower_arc_v2.0,ok_experimental_proxy_not_anatomical_girth
98,346.0,167.0,0.5841325664667865,0.5672825885879368,0.5757075775273617,0.5555206228069836,0.31763342979122117,0.3192496752282935,1.1924037278264983,0.6469374842571615,0.6594162015410067,1.3063536857981681,-0.29608677824060703,0.1390062959877223,11,11,1.0,1.0,0.9878,0.9460666666666666,dataset/98/right-12.04.46.900.ply,dataset/98/left-12.04.46.933.ply,top dorsal arc + right lower-side arc + left lower-side arc,rolling 90th percentile belly boundary removes legs and udder excursions; lower arc starts at 50% back-to-belly height,three_view_top_dorsal_plus_right_left_lower_arc_v2.0,ok_experimental_proxy_not_anatomical_girth
99,407.0,175.0,0.5607762718223241,0.5267898311058197,0.5437830514640719,0.5600925725021307,0.46301971167262945,0.34687917868296714,1.3699914628577274,0.8385792549832989,0.720810750986962,1.5593900059702608,-0.2316882511904399,0.13878332023515816,11,11,1.0,1.0,0.9372,0.9944666666666667,dataset/99/right-12.07.51.244.ply,dataset/99/left-12.07.51.250.ply,top dorsal arc + right lower-side arc + left lower-side arc,rolling 90th percentile belly boundary removes legs and udder excursions; lower arc starts at 50% back-to-belly height,three_view_top_dorsal_plus_right_left_lower_arc_v2.0,ok_experimental_proxy_not_anatomical_girth
100,366.0,170.0,0.5682749597854385,0.5232630817826315,0.545769020784035,0.5409290888393969,0.3272312620711294,0.30644898142994076,1.1746093323404672,0.6530011330149615,0.6364236178757812,1.2894247508907428,-0.2340225735009237,0.09759086213558121,11,11,1.0,1.0,0.8872,0.9942666666666666,dataset/100/right-12.13.31.385.ply,dataset/100/left-12.13.31.362.ply,top dorsal arc + right lower-side arc + left lower-side arc,rolling 90th percentile belly boundary removes legs and udder excursions; lower arc starts at 50% back-to-belly height,three_view_top_dorsal_plus_right_left_lower_arc_v2.0,ok_experimental_proxy_not_anatomical_girth
102,378.0,171.0,0.5982212938274024,0.5151350030180409,0.5566781484227217,0.6446784417657511,0.410824890590086,0.2970643905450423,1.3525677229008792,0.7844529227785243,0.6244701673789845,1.4089230901575087,-0.3263410454435358,0.12189372975466395,11,11,0.9841269841269841,1.0,0.9124,0.9953333333333333,dataset/102/right-12.19.51.764.ply,dataset/102/left-12.19.51.733.ply,top dorsal arc + right lower-side arc + left lower-side arc,rolling 90th percentile belly boundary removes legs and udder excursions; lower arc starts at 50% back-to-belly height,three_view_top_dorsal_plus_right_left_lower_arc_v2.0,ok_experimental_proxy_not_anatomical_girth
103,382.0,172.0,0.5311435526324477,0.5736350368430436,0.5523892947377457,0.6182779164375273,0.28638813854859585,0.2651828753340615,1.1698489303201847,0.6150839584690811,0.5683903466776506,1.1834743051467318,-0.32545741870388156,0.15257304749191414,11,11,1.0,1.0,0.9912,0.8628666666666667,dataset/103/right-12.24.09.149.ply,dataset/103/left-12.24.09.122.ply,top dorsal arc + right lower-side arc + left lower-side arc,rolling 90th percentile belly boundary removes legs and udder excursions; lower arc starts at 50% back-to-belly height,three_view_top_dorsal_plus_right_left_lower_arc_v2.0,ok_experimental_proxy_not_anatomical_girth
104,408.0,175.0,0.5579194818698623,0.6199105354109582,0.5889150086404102,0.525538087652888,0.35299287247274114,0.39182796440535655,1.2703589245309856,0.7056874386018139,0.7444909175088444,1.4501783561106585,-0.23584579368482106,0.2944072458512188,11,11,0.9836065573770492,0.984375,0.9727333333333333,0.9888,dataset/104/right-12.28.17.846.ply,dataset/104/left-12.28.17.836.ply,top dorsal arc + right lower-side arc + left lower-side arc,rolling 90th percentile belly boundary removes legs and udder excursions; lower arc starts at 50% back-to-belly height,three_view_top_dorsal_plus_right_left_lower_arc_v2.0,ok_experimental_proxy_not_anatomical_girth
105,323.0,164.0,0.4733675330443795,0.5667953356189281,0.5200814343316538,0.5755403244481236,0.29243712324054333,0.24624525524810548,1.1142227029367726,0.6126766956470112,0.5438197998997689,1.1564964955467802,-0.22431195570615314,0.09787591091271719,11,11,0.9821428571428571,1.0,0.988,0.9674666666666667,dataset/105/right-12.31.06.341.ply,dataset/105/left-12.31.06.321.ply,top dorsal arc + right lower-side arc + left lower-side arc,rolling 90th percentile belly boundary removes legs and udder excursions; lower arc starts at 50% back-to-belly height,three_view_top_dorsal_plus_right_left_lower_arc_v2.0,ok_experimental_proxy_not_anatomical_girth
107,409.0,177.0,0.5860342046768793,0.5274307842091913,0.5567324944430353,0.5434363996581009,0.3418109146070531,0.3691484464401354,1.2543957607052894,0.6598635277596134,0.7341759653760356,1.394039493135649,-0.36806174066326725,0.0547202991286766,11,11,0.9824561403508771,0.9692307692307692,0.9773333333333334,0.9596,dataset/107/right-12.35.51.089.ply,dataset/107/left-12.35.51.087.ply,top dorsal arc + right lower-side arc + left lower-side arc,rolling 90th percentile belly boundary removes legs and udder excursions; lower arc starts at 50% back-to-belly height,three_view_top_dorsal_plus_right_left_lower_arc_v2.0,ok_experimental_proxy_not_anatomical_girth
110,417.0,176.0,0.5290333756749936,0.5715992794649357,0.5503163275699647,0.44729576172408914,0.27554580948592816,0.26889880170656666,0.991740372916584,0.5716664463563746,0.551142467236166,1.1228089135925408,-0.158571431973077,0.184744072517816,11,11,0.98,1.0,0.9708666666666667,0.9798666666666667,dataset/110/right-12.43.43.016.ply,dataset/110/left-12.43.43.040.ply,top dorsal arc + right lower-side arc + left lower-side arc,rolling 90th percentile belly boundary removes legs and udder excursions; lower arc starts at 50% back-to-belly height,three_view_top_dorsal_plus_right_left_lower_arc_v2.0,ok_experimental_proxy_not_anatomical_girth
