cow_id,ground_truth_weight_kg,pca_rear70_torso_analysis_eligible,pca_rear70_torso_method_version,pca_rear70_torso_recorded_on,pca_rear70_torso_start_ratio_from_rear,pca_rear70_torso_end_ratio_from_rear,pca_rear70_torso_full_length_m,pca_rear70_torso_start_x_m,pca_rear70_torso_start_y_m,pca_rear70_torso_end_x_m,pca_rear70_torso_end_y_m,pca_rear70_torso_length_m,pca_rear70_torso_projection_grid_cell_size_m,pca_rear70_torso_projection_grid_cell_count,pca_rear70_torso_projected_area_m2,pca_rear70_torso_projection_mean_height_m,pca_rear70_torso_projection_median_height_m,pca_rear70_torso_projected_volume_m3,pca_rear70_torso_projected_volume_l,pca_rear70_torso_height_definition,pca_rear70_torso_cell_height_aggregation,pca_rear70_torso_region_definition,pca_rear70_torso_status,source_top_ply,extracted_top_ply
111,243.0,TRUE,pca_rear_endpoint_to_70pct_1cm_column_sum_v1.0,2026-09-06,0.0,0.7,1.81529,-0.354857,0.317676,0.844109,-0.103235,1.270703,0.01,6348,0.6348,1.106034,1.132357,0.702111,702.111,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,PCA rear endpoint 0pct through 70pct of full PCA endpoint length,ok,dataset/111/top-12.46.25.999.ply,point_clouds/cow_111_top_cattle.ply
112,399.0,TRUE,pca_rear_endpoint_to_70pct_1cm_column_sum_v1.0,2026-09-06,0.0,0.7,1.877557,-0.55494,-0.10691,0.755935,-0.201584,1.31429,0.01,6931,0.6931,1.149053,1.172752,0.796409,796.409,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,PCA rear endpoint 0pct through 70pct of full PCA endpoint length,ok,dataset/112/top-13.12.33.514.ply,point_clouds/cow_112_top_cattle.ply
114,605.0,TRUE,pca_rear_endpoint_to_70pct_1cm_column_sum_v1.0,2026-09-06,0.0,0.7,1.857409,-0.45543,-0.083937,0.837239,-0.223546,1.300186,0.01,6830,0.683,1.143403,1.156834,0.780944,780.944,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,PCA rear endpoint 0pct through 70pct of full PCA endpoint length,ok,dataset/114/top-13.20.39.997.ply,point_clouds/cow_114_top_cattle.ply
117,399.0,TRUE,pca_rear_endpoint_to_70pct_1cm_column_sum_v1.0,2026-09-06,0.0,0.7,1.888543,-0.785554,0.014559,0.534064,0.09355,1.32198,0.01,6912,0.6912,1.142112,1.165531,0.789428,789.428,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,PCA rear endpoint 0pct through 70pct of full PCA endpoint length,ok,dataset/117/top-13.29.21.437.ply,point_clouds/cow_117_top_cattle.ply
119,495.0,TRUE,pca_rear_endpoint_to_70pct_1cm_column_sum_v1.0,2026-09-06,0.0,0.7,1.940786,-0.737354,0.074637,0.610523,-0.095318,1.35855,0.01,7103,0.7103,1.153563,1.175559,0.819376,819.376,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,PCA rear endpoint 0pct through 70pct of full PCA endpoint length,ok,dataset/119/top-13.34.35.017.ply,point_clouds/cow_119_top_cattle.ply
120,493.0,TRUE,pca_rear_endpoint_to_70pct_1cm_column_sum_v1.0,2026-09-06,0.0,0.7,1.841397,-0.465733,-0.181385,0.820871,-0.259572,1.288978,0.01,7142,0.7142,1.149851,1.172522,0.821224,821.224,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,PCA rear endpoint 0pct through 70pct of full PCA endpoint length,ok,dataset/120/top-13.38.22.918.ply,point_clouds/cow_120_top_cattle.ply
122,486.0,TRUE,pca_rear_endpoint_to_70pct_1cm_column_sum_v1.0,2026-09-06,0.0,0.7,1.89632,-0.633937,-0.076895,0.688985,0.032346,1.327424,0.01,7265,0.7265,1.170791,1.196575,0.85058,850.58,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,PCA rear endpoint 0pct through 70pct of full PCA endpoint length,ok,dataset/122/top-13.45.51.673.ply,point_clouds/cow_122_top_cattle.ply
123,545.0,TRUE,pca_rear_endpoint_to_70pct_1cm_column_sum_v1.0,2026-09-06,0.0,0.7,1.930679,-0.637482,0.224475,0.708473,0.102448,1.351475,0.01,7270,0.727,1.090758,1.103724,0.792981,792.981,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,PCA rear endpoint 0pct through 70pct of full PCA endpoint length,ok,dataset/123/top-13.47.57.125.ply,point_clouds/cow_123_top_cattle.ply
124,484.0,TRUE,pca_rear_endpoint_to_70pct_1cm_column_sum_v1.0,2026-09-06,0.0,0.7,1.93051,-0.696278,0.10753,0.654246,0.154975,1.351357,0.01,7317,0.7317,1.152371,1.172709,0.84319,843.19,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,PCA rear endpoint 0pct through 70pct of full PCA endpoint length,ok,dataset/124/top-15.16.55.421.ply,point_clouds/cow_124_top_cattle.ply
125,411.0,TRUE,pca_rear_endpoint_to_70pct_1cm_column_sum_v1.0,2026-09-06,0.0,0.7,1.905017,-0.591942,0.064023,0.7414,0.042714,1.333512,0.01,6953,0.6953,1.159739,1.181269,0.806367,806.367,ground_plane_z_minus_cattle_surface_z,median_height_within_each_1cm_xy_cell,PCA rear endpoint 0pct through 70pct of full PCA endpoint length,ok,dataset/125/top-15.19.57.964.ply,point_clouds/cow_125_top_cattle.ply
