cow_id,source_top_ply,extracted_top_ply,rear_axis_x_m,rear_axis_y_m,head_axis_x_m,head_axis_y_m,pca_full_length_m,marker_ratio_from_rear,marker_distance_from_rear_m,marker_distance_to_head_m,marker_x_m,marker_y_m,display_orientation,method_version,preview_group_number,preview_group_file
103,dataset/103/top-12.24.09.127.ply,point_clouds/cow_103_top_cattle.ply,-0.846334,-0.310981,1.024158,-0.5253,1.8827301866770503,0.6,1.1296381120062302,0.7530920746708202,0.27596120000000013,-0.4395724,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,3,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_03_cows_087_107.png
104,dataset/104/top-12.28.17.838.ply,point_clouds/cow_104_top_cattle.ply,-0.048805,-0.055168,1.55228,0.141643,1.6131359976598378,0.6,0.9678815985959026,0.6452543990639352,0.9118459999999999,0.06291859999999999,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,3,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_03_cows_087_107.png
105,dataset/105/top-12.31.06.345.ply,point_clouds/cow_105_top_cattle.ply,-0.327314,-0.061804,1.26612,-0.258414,1.605517799482771,0.6,0.9633106796896626,0.6422071197931084,0.6287463999999998,-0.17976999999999999,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,3,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_03_cows_087_107.png
107,dataset/107/top-12.35.51.048.ply,point_clouds/cow_107_top_cattle.ply,-0.518245,0.062388,1.133518,-0.365898,1.706385040360176,0.6,1.0238310242161055,0.6825540161440704,0.4728127999999999,-0.19458359999999997,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,3,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_03_cows_087_107.png
110,dataset/110/top-12.43.43.056.ply,point_clouds/cow_110_top_cattle.ply,-0.478113,-0.093599,1.153555,0.111507,1.6445087210045437,0.6,0.9867052326027261,0.6578034884018176,0.5008878,0.029464599999999994,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,4,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_04_cows_110_124.png
111,dataset/111/top-12.46.25.999.ply,point_clouds/cow_111_top_cattle.ply,-0.354857,0.317676,1.357952,-0.283626,1.815290270365872,0.6,1.0891741622195232,0.7261161081463489,0.6728284,-0.04310520000000001,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,4,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_04_cows_110_124.png
112,dataset/112/top-13.12.33.514.ply,point_clouds/cow_112_top_cattle.ply,-0.55494,-0.10691,1.317739,-0.242159,1.8775566380383841,0.6,1.1265339828230305,0.7510226552153537,0.5686674,-0.18805940000000002,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,4,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_04_cows_110_124.png
114,dataset/114/top-13.20.39.997.ply,point_clouds/cow_114_top_cattle.ply,-0.45543,-0.083937,1.39124,-0.283379,1.8574087326875581,0.6,1.1144452396125348,0.7429634930750233,0.6525719999999999,-0.2036022,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,4,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_04_cows_110_124.png
117,dataset/117/top-13.29.21.437.ply,point_clouds/cow_117_top_cattle.ply,-0.785554,0.014559,1.099615,0.127403,1.888543334662194,0.6,1.1331260007973163,0.7554173338648776,0.3455473999999997,0.08226539999999999,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,4,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_04_cows_110_124.png
119,dataset/119/top-13.34.35.017.ply,point_clouds/cow_119_top_cattle.ply,-0.737354,0.074637,1.188185,-0.168156,1.9407856350895636,0.6,1.1644713810537382,0.7763142540358254,0.41796940000000016,-0.07103879999999997,rear_left_head_right_pca_axis_horizontal,pca_full_axis_rear60pct_preview_v1.0,4,cattle_3d_extraction_66/pca_horizontal_60pct_preview_61/groups_2cols_10cows/pca_horizontal_60pct_group_04_cows_110_124.png
